date,category_id,category_title,revenue
2025-03-01,1,Wine,144045776.0
2025-04-01,1,Wine,146227936.0
2025-05-01,1,Wine,121094200.0
2025-06-01,1,Wine,126400224.0
2025-07-01,1,Wine,131011648.0
2025-08-01,1,Wine,133348008.0
2025-09-01,1,Wine,156130464.0
2025-10-01,1,Wine,144972432.0
2025-11-01,1,Wine,132825560.0
2025-12-01,1,Wine,121592016.0
2026-01-01,1,Wine,134983776.0
2026-02-01,1,Wine,129283424.0
2026-03-01,1,Wine,151229216.0
2026-04-01,1,Wine,148383072.0
2026-05-01,1,Wine,117438928.0
2026-06-01,1,Wine,148768672.0
2026-07-01,1,Wine,136633280.0
2026-08-01,1,Wine,133397128.0
2025-03-01,2,Champagne & Sparkling Wine,180989088.0
2025-04-01,2,Champagne & Sparkling Wine,178650048.0
2025-05-01,2,Champagne & Sparkling Wine,148090208.0
2025-06-01,2,Champagne & Sparkling Wine,174789168.0
2025-07-01,2,Champagne & Sparkling Wine,177561504.0
2025-08-01,2,Champagne & Sparkling Wine,176378896.0
2025-09-01,2,Champagne & Sparkling Wine,176601696.0
2025-10-01,2,Champagne & Sparkling Wine,173519472.0
2025-11-01,2,Champagne & Sparkling Wine,178984400.0
2025-12-01,2,Champagne & Sparkling Wine,182123120.0
2026-01-01,2,Champagne & Sparkling Wine,188675200.0
2026-02-01,2,Champagne & Sparkling Wine,179456624.0
2026-03-01,2,Champagne & Sparkling Wine,185252272.0
2026-04-01,2,Champagne & Sparkling Wine,172040944.0
2026-05-01,2,Champagne & Sparkling Wine,170945168.0
2026-06-01,2,Champagne & Sparkling Wine,174398608.0
2026-07-01,2,Champagne & Sparkling Wine,178576160.0
2026-08-01,2,Champagne & Sparkling Wine,187579088.0
2025-03-01,3,Whiskey,525924224.0
2025-04-01,3,Whiskey,607331072.0
2025-05-01,3,Whiskey,532538272.0
2025-06-01,3,Whiskey,532640032.0
2025-07-01,3,Whiskey,543385920.0
2025-08-01,3,Whiskey,601579072.0
2025-09-01,3,Whiskey,584383680.0
2025-10-01,3,Whiskey,582976896.0
2025-11-01,3,Whiskey,600413568.0
2025-12-01,3,Whiskey,588103616.0
2026-01-01,3,Whiskey,592214208.0
2026-02-01,3,Whiskey,591884544.0
2026-03-01,3,Whiskey,575537024.0
2026-04-01,3,Whiskey,542380672.0
2026-05-01,3,Whiskey,528375136.0
2026-06-01,3,Whiskey,548816768.0
2026-07-01,3,Whiskey,530874848.0
2026-08-01,3,Whiskey,584238656.0
2025-03-01,4,Cognac & Brandy,100572360.0
2025-04-01,4,Cognac & Brandy,86204200.0
2025-05-01,4,Cognac & Brandy,99495800.0
2025-06-01,4,Cognac & Brandy,102369056.0
2025-07-01,4,Cognac & Brandy,94840960.0
2025-08-01,4,Cognac & Brandy,100273560.0
2025-09-01,4,Cognac & Brandy,98997600.0
2025-10-01,4,Cognac & Brandy,99851872.0
2025-11-01,4,Cognac & Brandy,97633912.0
2025-12-01,4,Cognac & Brandy,101554664.0
2026-01-01,4,Cognac & Brandy,101421216.0
2026-02-01,4,Cognac & Brandy,103975736.0
2026-03-01,4,Cognac & Brandy,101725416.0
2026-04-01,4,Cognac & Brandy,100637544.0
2026-05-01,4,Cognac & Brandy,116714584.0
2026-06-01,4,Cognac & Brandy,115398304.0
2026-07-01,4,Cognac & Brandy,102228992.0
2026-08-01,4,Cognac & Brandy,107178208.0
2025-03-01,5,Vodka,103883960.0
2025-04-01,5,Vodka,106088888.0
2025-05-01,5,Vodka,115791736.0
2025-06-01,5,Vodka,111152312.0
2025-07-01,5,Vodka,117201864.0
2025-08-01,5,Vodka,109604872.0
2025-09-01,5,Vodka,101607736.0
2025-10-01,5,Vodka,119994600.0
2025-11-01,5,Vodka,121283912.0
2025-12-01,5,Vodka,114186032.0
2026-01-01,5,Vodka,107607096.0
2026-02-01,5,Vodka,114366128.0
2026-03-01,5,Vodka,121301904.0
2026-04-01,5,Vodka,119554040.0
2026-05-01,5,Vodka,118908672.0
2026-06-01,5,Vodka,114082736.0
2026-07-01,5,Vodka,111826384.0
2026-08-01,5,Vodka,119727168.0
